R,a0,a2,a4,b3,b5,E
1.49,0.22,-0.0438082,0.00390804,-0.00153108,0.000258992,139.148
1.49,0.23,-0.0451222,0.00397649,-0.00163813,0.000273965,134.127
1.49,0.24,-0.0463588,0.00403376,-0.00174458,0.000288269,129.568
1.5,0.2,-0.00340267,-0.000446273,-3.25475e-05,0.0204554,244.785
1.5,0.21,-0.0260019,0.00116682,0.000217015,0.0123675,176.917
1.5,0.22,-0.0439747,0.00393328,-0.00153378,0.000260015,139.44
1.5,0.23,-0.0452937,0.0040022,-0.00164089,0.000275023,134.409
1.5,0.24,-0.046535,0.00405989,-0.00174738,0.000289358,129.841
1.51,0.2,-0.0045171,-0.000360985,2.4605e-05,0.0199956,240.713
1.51,0.21,-0.0271898,0.00129965,0.000183574,0.011861,174.534
1.51,0.22,-0.0441414,0.00395859,-0.00153658,0.000261054,139.737
1.51,0.23,-0.0454653,0.00402796,-0.00164374,0.000276097,134.695
1.51,0.24,-0.0467113,0.00408607,-0.00175027,0.000290462,130.117
1.52,0.2,-0.0056351,-0.000277399,7.55356e-05,0.0195489,236.869
1.52,0.21,-0.0283775,0.00143876,0.000144789,0.0113439,172.231
1.52,0.22,-0.0443085,0.00398397,-0.00153947,0.000262111,140.038
1.52,0.23,-0.0456371,0.00405379,-0.00164669,0.000277187,134.986
1.52,0.24,-0.0468877,0.00411228,-0.00175325,0.000291581,130.398
1.53,0.2,-0.00675449,-0.000195311,0.000120945,0.0191138,233.233
1.53,0.21,-0.0295664,0.00158464,0.000100422,0.010815,170.007
1.53,0.22,-0.0444757,0.00400942,-0.00154245,0.000263184,140.343
1.53,0.23,-0.0458091,0.00407967,-0.00164973,0.000278294,135.28
1.53,0.24,-0.0470641,0.00413853,-0.00175633,0.000292716,130.683
1.54,0.2,-0.00787337,-0.00011447,0.000161357,0.0186889,229.787
1.54,0.21,-0.0307581,0.00173779,5.01859e-05,0.0102729,167.863
1.54,0.22,-0.0446432,0.00403495,-0.00154552,0.000264274,140.653
1.54,0.23,-0.0459812,0.00410561,-0.00165286,0.000279417,135.579
1.54,0.24,-0.0472406,0.00416482,-0.00175949,0.000293866,130.972
1.55,0.2,-0.00899014,-3.45932e-05,0.000197169,0.0182731,226.514
1.55,0.21,-0.031954,0.00189869,-6.26138e-06,0.00971616,165.803
1.55,0.22,-0.0448111,0.00406055,-0.00154868,0.000265382,140.966
1.55,0.23,-0.0461535,0.00413161,-0.00165608,0.000280557,135.882
1.55,0.24,-0.0474171,0.00419116,-0.00176275,0.000295033,131.265
1.56,0.2,-0.0101035,4.46252e-05,0.000228688,0.0178649,223.398
1.56,0.21,-0.0331558,0.00206779,-6.93308e-05,0.00914304,163.829
1.56,0.22,-0.0449791,0.00408623,-0.00155193,0.000266506,141.284
1.56,0.23,-0.046326,0.00415767,-0.0016594,0.000281714,136.188
1.56,0.24,-0.0475938,0.00421755,-0.00176611,0.000296215,131.561
1.57,0.2,-0.0112124,0.000123507,0.000256154,0.0174633,220.427
1.57,0.21,-0.0343647,0.0022455,-0.000139517,0.00855169,161.947
1.57,0.22,-0.0451475,0.00411198,-0.00155527,0.000267648,141.606
1.57,0.23,-0.0464987,0.0041838,-0.0016628,0.000282887,136.499
1.57,0.24,-0.0477706,0.00424398,-0.00176955,0.000297414,131.861
1.58,0.2,-0.012316,0.000202384,0.000279757,0.0170672,217.588
1.58,0.21,-0.0355817,0.00243219,-0.000217428,0.00793976,160.161
1.58,0.22,-0.0453161,0.00413781,-0.00155869,0.000268807,141.931
1.58,0.23,-0.0466716,0.00420998,-0.0016663,0.000284078,136.813
1.58,0.24,-0.0479474,0.00427045,-0.00177309,0.000298629,132.165
1.59,0.2,-0.0134137,0.000281589,0.000299646,0.0166756,214.87
1.59,0.21,-0.0368075,0.00262814,-0.000303829,0.0073042,158.477
1.59,0.22,-0.045485,0.00416372,-0.0015622,0.000269983,142.26
1.59,0.23,-0.0468447,0.00423623,-0.00166988,0.000285285,137.131
1.59,0.24,-0.0481244,0.00429697,-0.00177672,0.00029986,132.473
1.6,0.2,-0.0145053,0.000361459,0.000315939,0.0162876,212.264
1.6,0.21,-0.0380424,0.00283354,-0.000399737,0.00664063,156.902
1.6,0.22,-0.0456542,0.0041897,-0.0015658,0.000271177,142.593
1.6,0.23,-0.047018,0.00426254,-0.00167355,0.000286509,137.453
1.6,0.24,-0.0483015,0.00432354,-0.00178044,0.000301108,132.784
1.61,0.2,-0.0155906,0.000442326,0.000328728,0.0159022,209.761
1.61,0.21,-0.0392858,0.0030485,-0.000506593,0.00594226,155.443
1.61,0.22,-0.0458237,0.00421576,-0.00156949,0.000272388,142.93
1.61,0.23,-0.0471916,0.00428891,-0.00167731,0.00028775,137.778
1.61,0.24,-0.0484788,0.00435016,-0.00178424,0.000302372,133.099
1.62,0.2,-0.0166694,0.00052452,0.000338084,0.0155186,207.354
